Price,CarBrand,CarModel,MfgDate,Mileage,Condition,GearBox,Fuel,CarOrigin,CarType,CarSeats,WarrantyPolicy
365.000.000 đ ,Ford,Ranger,2017,180000,Đã sử dụng,Số sàn,Dầu,Đang cập nhật,Pick-up (bán tải),5,Bảo hành hãng
1.230.000.000 đ ,Kia,Pregio,2022,2000,Đã sử dụng,Tự động,Dầu,Việt Nam,,8,Bảo hành hãng
468.000.000 đ ,Toyota,Celica,2000,80000,Đã sử dụng,Tự động,Xăng,Nhật Bản,Coupe (2 cửa),4,Bảo hành hãng
159.000.000 đ ,Daewoo,Lacetti,2010,160000,Đã sử dụng,Số sàn,Xăng,Hàn Quốc,Sedan,5,Bảo hành hãng
499.000.000 đ ,Volkswagen,Touareg,2008,100000,Đã sử dụng,Tự động,Xăng,Đức,SUV / Cross over,5,Bảo hành hãng
150.000.000 đ ,Hyundai,Getz,2007,125000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,Hatchback,5,Bảo hành hãng
1.750.000.000 đ ,Lexus,NX,2019,78000,Đã sử dụng,Tự động,Xăng,Nhật Bản,SUV / Cross over,5,Bảo hành hãng
55.000.000 đ ,Suzuki,APV,1997,56789,Đã sử dụng,Số sàn,Xăng,Nhật Bản,SUV / Cross over,7,Bảo hành hãng
1.990.000.000 đ ,Porsche,Macan,2016,50000,Đã sử dụng,Tự động,Xăng,Đức,SUV / Cross over,5,Bảo hành hãng
6.000.000 đ ,Hãng khác,Dòng khác,2011,19999,Đã sử dụng,Tự động,Xăng,Việt Nam,Kiểu dáng khác,2,Bảo hành hãng
289.000.000 đ ,Ford,Fiesta,2015,60000,Đã sử dụng,Tự động,Xăng,Việt Nam,Hatchback,5,Bảo hành hãng
292.000.000 đ ,Nissan,Teana,2010,9999,Đã sử dụng,Tự động,Xăng,Đài Loan,Sedan,5,Bảo hành hãng
790.000.000 đ ,Mazda,Dòng khác,2019,70000,Đã sử dụng,Tự động,Xăng,Việt Nam,,7,Bảo hành hãng
95.000.000 đ ,Honda,Accord,1995,121219,Đã sử dụng,Số sàn,Xăng,Nhật Bản,Sedan,5,Bảo hành hãng
1.050.000.000 đ ,Mercedes Benz,GLC,2018,21000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,SUV / Cross over,5,Bảo hành hãng
769.000.000 đ ,Hyundai,Tucson,2023,,Mới,Tự động,Xăng,Việt Nam,SUV / Cross over,5,Bảo hành hãng
654.000.000 đ ,Ford,Ranger,2023,,Mới,Tự động,Xăng,Việt Nam,Pick-up (bán tải),5,Bảo hành hãng
1.279.000.000 đ ,Ford,Ranger,2023,,Mới,Bán tự động,Dầu,Thái Lan,Pick-up (bán tải),5,Bảo hành hãng
435.000.000 đ ,Ford,EcoSport,2018,16000,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,5,Bảo hành hãng
968.000.000 đ ,Mercedes Benz,C Class,2018,23000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
618.000.000 đ ,Kia,K3,2022,14000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,Sedan,2,Bảo hành hãng
1.399.000.000 đ ,Lexus,ES,2016,57000,Đã sử dụng,Tự động,Xăng,Nhật Bản,Sedan,5,Bảo hành hãng
455.000.000 đ ,Toyota,Land Cruiser Prado,2008,123,Đã sử dụng,Tự động,Xăng,Việt Nam,,7,Bảo hành hãng
1.350.000.000 đ ,Mercedes Benz,S Class,2014,60000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,Sedan,5,Bảo hành hãng
310.000.000 đ ,Mitsubishi,Attrage,2020,140000,Đã sử dụng,Tự động,Xăng,Thái Lan,Sedan,5,Bảo hành hãng
839.000.000 đ ,Ford,Ranger,2019,96000,Đã sử dụng,Tự động,Xăng,Thái Lan,,,Bảo hành hãng
399.000.000 đ ,Mazda,3,2016,61000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
83.000.000 đ ,Daewoo,Lacetti,2005,6000,Đã sử dụng,Số sàn,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
629.000.000 đ ,Hyundai,Tucson,2018,113169,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,5,Bảo hành hãng
452.000.000 đ ,Ford,Transit,2016,250000,Đã sử dụng,Số sàn,Dầu,Đang cập nhật,Minivan (MPV),16,Bảo hành hãng
299.000.000 đ ,Chevrolet,Cruze,2016,75000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,Sedan,5,Bảo hành hãng
296.000.000 đ ,Hyundai,Grand i10,2017,72000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,Bảo hành hãng
585.000.000 đ ,Vinfast,Lux A2.0,2019,44000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
475.000.000 đ ,Mazda,3,2018,45000,Đã sử dụng,Tự động,Xăng,Việt Nam,Hatchback,5,Bảo hành hãng
690.000.000 đ ,Mercedes Benz,E Class,2014,80000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,Sedan,5,Bảo hành hãng
135.000.000 đ ,Kia,Morning,2004,125,Đã sử dụng,Tự động,Xăng,Hàn Quốc,Hatchback,5,Bảo hành hãng
549.000.000 đ ,Kia,Sonet,2022,17000,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,5,Bảo hành hãng
839.000.000 đ ,Ford,Ranger,2022,35000,Đã sử dụng,Số sàn,Dầu,Việt Nam,Pick-up (bán tải),5,Bảo hành hãng
675.000.000 đ ,Vinfast,Lux A2.0,2021,10000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
150.000.000 đ ,Hyundai,Elantra,2023,,Mới,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
888.000.000 đ ,Mercedes Benz,C Class,2018,48000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
495.000.000 đ ,Ford,EcoSport,2020,22000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,SUV / Cross over,5,Bảo hành hãng
470.000.000 đ ,Hyundai,Accent,2021,16700,Đã sử dụng,Tự động,Xăng,Đang cập nhật,Sedan,5,Bảo hành hãng
468.000.000 đ ,Hyundai,Accent,2021,23452,Đã sử dụng,Tự động,Xăng,Đang cập nhật,Sedan,5,Bảo hành hãng
690.000.000 đ ,Hyundai,Tucson,2019,27000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,SUV / Cross over,5,Bảo hành hãng
150.000.000 đ ,Hyundai,Elantra,2023,,Mới,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
610.000.000 đ ,Vinfast,Lux A2.0,2021,31000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
480.000.000 đ ,Mitsubishi,Pajero Sport,2015,13000,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,7,Bảo hành hãng
725.000.000 đ ,Mitsubishi,Outlander,2022,35000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,SUV / Cross over,9,Bảo hành hãng
528.000.000 đ ,Kia,Cerato,2019,62000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
462.000.000 đ ,Toyota,Fortuner,2012,116000,Đã sử dụng,Số sàn,Dầu,Việt Nam,SUV / Cross over,7,Bảo hành hãng
1.429.000.000 đ ,Kia,Carnival,2023,,Mới,Tự động,Dầu,Việt Nam,Sedan,7,Bảo hành hãng
605.000.000 đ ,Hyundai,Stargazer,2022,14000,Đã sử dụng,Tự động,Xăng,Việt Nam,Minivan (MPV),7,Bảo hành hãng
1.150.000.000 đ ,BMW,Dòng khác,2017,45000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,4,Bảo hành hãng
565.000.000 đ ,Ford,Ranger,2021,60000,Đã sử dụng,Tự động,Dầu,Đang cập nhật,Pick-up (bán tải),5,Bảo hành hãng
565.000.000 đ ,Toyota,Innova,2018,81000,Đã sử dụng,Tự động,Xăng,Việt Nam,Minivan (MPV),7,Bảo hành hãng
655.000.000 đ ,Vinfast,Lux A2.0,2021,43000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
555.000.000 đ ,Toyota,Innova,2018,70000,Đã sử dụng,Tự động,Xăng,Việt Nam,Minivan (MPV),7,Bảo hành hãng
289.000.000 đ ,Vinfast,Fadil,2019,,Đã sử dụng,Tự động,Xăng,Việt Nam,Hatchback,5,Bảo hành hãng
609.000.000 đ ,Vinfast,1083,2021,41998,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,2,Bảo hành hãng
288.000.000 đ ,Ford,Escape,2012,82186,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,5,Bảo hành hãng
1.279.000.000 đ ,BMW,5 Series,2016,73000,Đã sử dụng,Tự động,Xăng,Đức,Sedan,4,Bảo hành hãng
1.099.000.000 đ ,Kia,Carnival,2021,35000,Đã sử dụng,Tự động,Dầu,Đang cập nhật,Minivan (MPV),8,Bảo hành hãng
575.000.000 đ ,Kia,Sorento,2015,80000,Đã sử dụng,Tự động,Dầu,Việt Nam,SUV / Cross over,5,Bảo hành hãng
349.000.000 đ ,Toyota,Vios,2019,53000,Đã sử dụng,Số sàn,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
455.000.000 đ ,Hyundai,Kona,2018,60000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,Bảo hành hãng
665.000.000 đ ,Vinfast,Lux A2.0,2021,16000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
299.000.000 đ ,Hyundai,Grand i10,2017,70000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,Hatchback,5,Bảo hành hãng
918.000.000 đ ,Ford,Everest,2018,39000,Đã sử dụng,Tự động,Dầu,Thái Lan,SUV / Cross over,7,Bảo hành hãng
585.000.000 đ ,Mitsubishi,Xpander Cross,2021,14688,Đã sử dụng,Tự động,Xăng,Việt Nam,Minivan (MPV),7,Bảo hành hãng
475.000.000 đ ,Ford,Ranger,2017,65000,Đã sử dụng,Tự động,Dầu,Thái Lan,Pick-up (bán tải),5,Bảo hành hãng
333.000.000 đ ,Mitsubishi,Attrage,2023,,Mới,Tự động,Xăng,Thái Lan,,5,Bảo hành hãng
345.000.000 đ ,Kia,Rio,2015,70000,Đã sử dụng,Tự động,Xăng,Hàn Quốc,Hatchback,5,Bảo hành hãng
458.000.000 đ ,Vinfast,VF5,2023,,Mới,Tự động,Điện,Việt Nam,SUV / Cross over,5,Bảo hành hãng
1.149.000.000 đ ,Mercedes Benz,GLC,2019,75000,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,5,Bảo hành hãng
895.000.000 đ ,Ford,Everest,2020,55000,Đã sử dụng,Tự động,Dầu,Thái Lan,SUV / Cross over,7,Bảo hành hãng
295.000.000 đ ,BMW,3 Series,2008,90000,Đã sử dụng,Tự động,Xăng,Đức,Sedan,5,Bảo hành hãng
665.000.000 đ ,Vinfast,Lux A2.0,2021,18000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
559.000.000 đ ,Kia,K3,2023,3400,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
550.000.000 đ ,Mini,Cooper,2010,67000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,Bảo hành hãng
618.000.000 đ ,Kia,K3,2022,17000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,2,Bảo hành hãng
247.000.000 đ ,Kia,Carens,2012,19,Đã sử dụng,Tự động,Xăng,Đang cập nhật,Minivan (MPV),7,Bảo hành hãng
1.880.000.000 đ ,Volkswagen,Teramont,2021,35000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,SUV / Cross over,7,Bảo hành hãng
305.000.000 đ ,Mazda,3,2013,862,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
305.000.000 đ ,Mazda,3,2013,862,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
110.000.000 đ ,Kia,Morning,2008,170000,Đã sử dụng,Số sàn,Xăng,Hàn Quốc,Hatchback,5,Bảo hành hãng
585.000.000 đ ,Vinfast,Lux A2.0,2021,17500,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
100.000.000 đ ,Mitsubishi,Jolie,2004,170000,Đã sử dụng,Số sàn,Xăng,Nhật Bản,SUV / Cross over,,Bảo hành hãng
589.000.000 đ ,Mazda,CX 3,2022,,Mới,Tự động,Xăng,Thái Lan,SUV / Cross over,5,Bảo hành hãng
55.000.000 đ ,Daewoo,Matiz,2005,50,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,Bảo hành hãng
555.000.000 đ ,Kia,K3,2022,,Mới,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
2.250.000.000 đ ,Lexus,LX,2012,100000,Đã sử dụng,Tự động,Xăng,Nước khác,SUV / Cross over,7,Bảo hành hãng
800.000.000 đ ,Jaguar,XF,2015,144000,Đã sử dụng,Tự động,Xăng,Nước khác,Sedan,4,Bảo hành hãng
475.000.000 đ ,Mazda,CX 5,2015,90653,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,5,Bảo hành hãng
489.000.000 đ ,Toyota,Rush,2019,55000,Đã sử dụng,Tự động,Xăng,Nước khác,SUV / Cross over,5,Bảo hành hãng
829.000.000 đ ,Mazda,CX 5,2023,,Mới,Tự động,Xăng,Nhật Bản,SUV / Cross over,5,Bảo hành hãng
380.000.000 đ ,Mitsubishi,Attrage,2023,,Mới,Bán tự động,Xăng,Thái Lan,Sedan,5,Bảo hành hãng
265.000.000 đ ,Mercedes Benz,C Class,2010,100000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
589.000.000 đ ,Toyota,Veloz Cross,2022,10,Đã sử dụng,Tự động,Xăng,Đang cập nhật,Minivan (MPV),9,Bảo hành hãng
935.000.000 đ ,Ford,Explorer,2017,72000,Đã sử dụng,Tự động,Xăng,Mỹ,SUV / Cross over,7,Bảo hành hãng
439.000.000 đ ,Honda,CR V,2013,123456,Đã sử dụng,Tự động,Xăng,Đang cập nhật,SUV / Cross over,5,Bảo hành hãng
350.000.000 đ ,Mitsubishi,Attrage,2020,33000,Đã sử dụng,Tự động,Xăng,Thái Lan,,5,Bảo hành hãng
275.000.000 đ ,Vinfast,Fadil,2020,30,Đã sử dụng,Tự động,Xăng,Mỹ,Sedan,5,Bảo hành hãng
2.150.000.000 đ ,Mercedes Benz,E Class,2021,14500,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
200.000.000 đ ,Kia,Cerato,2009,100,Đã sử dụng,Số sàn,Xăng,Nước khác,Sedan,5,Bảo hành hãng
435.000.000 đ ,Hyundai,Santa Fe,2009,120000,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,7,Bảo hành hãng
850.000.000 đ ,Ford,Everest,2018,93000,Đã sử dụng,Tự động,Dầu,Thái Lan,SUV / Cross over,7,Bảo hành hãng
379.000.000 đ ,Honda,City,2018,69000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
175.000.000 đ ,Hyundai,Grand i10,2014,8888,Đã sử dụng,Số sàn,Xăng,Ấn Độ,,,Bảo hành hãng
1.479.000.000 đ ,Mercedes Benz,GLC,2020,57000,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,5,Bảo hành hãng
575.000.000 đ ,Toyota,Fortuner,2015,16000,Đã sử dụng,Số sàn,Dầu,Đang cập nhật,SUV / Cross over,7,Bảo hành hãng
239.000.000 đ ,Ford,Focus,2010,97000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,Bảo hành hãng
505.000.000 đ ,Hyundai,Elantra,2020,32000,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
415.000.000 đ ,Toyota,Innova,2016,100000,Đã sử dụng,Số sàn,Xăng,Việt Nam,Minivan (MPV),8,Bảo hành hãng
999.000.000 đ ,Mercedes Benz,C Class,2018,40000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,Sedan,5,Bảo hành hãng
456.000.000 đ ,Toyota,Fortuner,2014,93000,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV / Cross over,7,Bảo hành hãng
668.000.000 đ ,Toyota,Veloz Cross,2022,18989,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,7,Bảo hành hãng
749.000.000 đ ,Mazda,CX 5,2023,,Mới,Tự động,Xăng,Việt Nam,SUV / Cross over,5,Bảo hành hãng
880.000.000 đ ,Mitsubishi,Pajero Sport,2021,10,Đã sử dụng,Tự động,Dầu,Đang cập nhật,SUV / Cross over,,Bảo hành hãng
456.000.000 đ ,Hyundai,Accent,2023,,Mới,Tự động,Xăng,Việt Nam,Sedan,5,Bảo hành hãng
1.124.000.000 đ ,Kia,Sorento,2022,,Mới,Tự động,Dầu,Việt Nam,SUV / Cross over,7,Bảo hành hãng
3.650.000.000 đ ,Porsche,Cayenne,2019,11500,Đã sử dụng,Tự động,Xăng,Đức,SUV / Cross over,5,Bảo hành hãng
880.000.000 đ ,Mercedes Benz,S Class,2010,96000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,Bảo hành hãng
590.000.000 đ ,Hyundai,Kona,2021,22000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,SUV / Cross over,5,Bảo hành hãng
987.000.000 đ ,Mitsubishi,Pajero Sport,2023,,Mới,Tự động,Dầu,Thái Lan,SUV / Cross over,7,Bảo hành hãng
938.000.000 đ ,Ford,Ranger,2019,59000,Đã sử dụng,Tự động,Dầu,Thái Lan,Pick-up (bán tải),,Bảo hành hãng
228.000.000 đ ,Toyota,Innova,2007,138000,Đã sử dụng,Số sàn,Xăng,Đang cập nhật,Minivan (MPV),8,Bảo hành hãng
