Price,CarBrand,CarModel,MfgDate,Mileage,Condition,GearBox,Fuel,CarOrigin,CarType,CarSeats
435000000.0,Ford,EcoSport,2018.0,16000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
968000000.0,Mercedes Benz,C Class,2018.0,23000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
618000000.0,Kia,K3,2022.0,14000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,2.0
1399000000.0,Lexus,ES,2016.0,57000.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,Sedan,5.0
455000000.0,Toyota,Land Cruiser Prado,2008.0,123.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,7.0
1350000000.0,Mercedes Benz,S Class,2014.0,60000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
310000000.0,Mitsubishi,Attrage,2020.0,140000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,Sedan,5.0
839000000.0,Ford,Ranger,2019.0,96000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,Pick up,5.0
399000000.0,Mazda,3,2016.0,61000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
629000000.0,Hyundai,Tucson,2018.0,113169.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
452000000.0,Ford,Transit,2016.0,250000.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,MPV,16.0
299000000.0,Chevrolet,Cruze,2016.0,75000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
585000000.0,Vinfast,Lux A2.0,2019.0,44000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
475000000.0,Mazda,3,2018.0,45000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Hatchback,5.0
690000000.0,Mercedes Benz,E Class,2014.0,80000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
135000000.0,Kia,Morning,2004.0,125.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,Hatchback,5.0
549000000.0,Kia,Sonet,2022.0,17000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
839000000.0,Ford,Ranger,2022.0,35000.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,Pick up,5.0
675000000.0,Vinfast,Lux A2.0,2021.0,10000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
150000000.0,Hyundai,Elantra,2023.0,0.0,Mới,Tự động,Xăng,Việt Nam,Sedan,5.0
888000000.0,Mercedes Benz,C Class,2018.0,48000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
495000000.0,Ford,EcoSport,2020.0,22000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
470000000.0,Hyundai,Accent,2021.0,16700.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
468000000.0,Hyundai,Accent,2021.0,23452.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
690000000.0,Hyundai,Tucson,2019.0,27000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
150000000.0,Hyundai,Elantra,2023.0,0.0,Mới,Tự động,Xăng,Việt Nam,Sedan,5.0
610000000.0,Vinfast,Lux A2.0,2021.0,31000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
480000000.0,Mitsubishi,Pajero Sport,2015.0,13000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,7.0
725000000.0,Mitsubishi,Outlander,2022.0,35000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,9.0
528000000.0,Kia,Cerato,2019.0,62000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
462000000.0,Toyota,Fortuner,2012.0,116000.0,Đã sử dụng,Số sàn,Dầu,Việt Nam,SUV,7.0
1429000000.0,Kia,Carnival,2023.0,0.0,Mới,Tự động,Dầu,Việt Nam,Sedan,7.0
605000000.0,Hyundai,Stargazer,2022.0,14000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,MPV,7.0
1150000000.0,BMW,Dòng khác,2017.0,45000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,4.0
565000000.0,Ford,Ranger,2021.0,60000.0,Đã sử dụng,Tự động,Dầu,Việt Nam,Pick up,5.0
565000000.0,Toyota,Innova,2018.0,81000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,MPV,7.0
