Price,CarBrand,CarModel,MfgDate,Mileage,Condition,GearBox,Fuel,CarOrigin,CarType,CarSeats
430000000.0,Honda,City,2019.0,68000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
360000000.0,Toyota,Vios,2019.0,50000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,Sedan,5.0
480000000.0,Mazda,Dòng khác,2019.0,131000.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,Sedan,5.0
707000000.0,Ford,Ranger,2023.0,0.0,Mới,Tự động,Dầu,Việt Nam,Pick up,5.0
445000000.0,Ford,EcoSport,2018.0,42000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
661000000.0,Honda,BR-V,2023.0,0.0,Mới,Tự động,Xăng,Nước khác,MPV,7.0
356000000.0,Toyota,Innova,2015.0,90000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,MPV,8.0
460000000.0,BMW,1 Series,2014.0,74300.0,Đã sử dụng,Tự động,Xăng,Đức,Hatchback,5.0
479000000.0,Mitsubishi,Xpander,2019.0,62000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,MPV,5.0
871000000.0,Honda,HR-V,2023.0,0.0,Mới,Tự động,Xăng,Thái Lan,SUV,5.0
661000000.0,Honda,BR-V,2023.0,0.0,Mới,Tự động,Xăng,Nước khác,MPV,7.0
299000000.0,Hyundai,Accent,2012.0,56000.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,Sedan,5.0
848000000.0,Mazda,CX 8,2021.0,50500.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,7.0
758000000.0,Kia,Sedona,2018.0,135000.0,Đã sử dụng,Tự động,Dầu,Việt Nam,MPV,7.0
420000000.0,Toyota,Yaris,2016.0,54000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,Hatchback,5.0
288000000.0,Kia,Cerato,2011.0,98950.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,Sedan,5.0
815000000.0,Toyota,Camry,2020.0,35000.0,Đã sử dụng,Tự động,Xăng,Thái Lan,Sedan,5.0
218000000.0,Honda,Civic,2008.0,100000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,Sedan,4.0
335000000.0,Toyota,Corolla Altis,2010.0,90000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
588000000.0,Honda,CR V,2017.0,81000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
565000000.0,Mazda,CX 5,2017.0,60000.0,Đã sử dụng,Tự động,Xăng,Nước khác,SUV,5.0
480000000.0,Mitsubishi,Triton,2017.0,79000.0,Đã sử dụng,Tự động,Dầu,Thái Lan,Pick up,5.0
700000000.0,Honda,CR X,2020.0,10000.0,Đã sử dụng,Tự động,Xăng,Nước khác,SUV,7.0
615000000.0,Mazda,CX 5,2018.0,61000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
800000000.0,Jaguar,XF,2015.0,144000.0,Đã sử dụng,Tự động,Xăng,Nước khác,Sedan,4.0
1299000000.0,Ford,Ranger,2023.0,0.0,Mới,Tự động,Dầu,Thái Lan,Pick up,5.0
420000000.0,Toyota,Innova,2015.0,124592.0,Đã sử dụng,Tự động,Xăng,Việt Nam,MPV,8.0
379000000.0,Renault,Duster,2016.0,58000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
300000000.0,Toyota,Innova,2013.0,90000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,MPV,8.0
195000000.0,Nissan,Tiida,2007.0,120000.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,Hatchback,5.0
596000000.0,Mitsubishi,Outlander,2019.0,77000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
315000000.0,Hyundai,Grand i10,2018.0,70000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
395000000.0,Toyota,RAV4,2009.0,100000.0,Đã sử dụng,Tự động,Xăng,Nhật Bản,SUV,7.0
105000000.0,Daewoo,Lacetti,2009.0,124531.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,Sedan,5.0
565000000.0,Mazda,CX 5,2017.0,32000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
325000000.0,Kia,Morning,2019.0,50000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Hatchback,5.0
548000000.0,Isuzu,Mu X,2016.0,85000.0,Đã sử dụng,Tự động,Dầu,Việt Nam,SUV,7.0
412000000.0,Mazda,CX 5,2013.0,101000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
369000000.0,Kia,Morning,2021.0,17000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Hatchback,5.0
112000000.0,Kia,Morning,2010.0,9.0,Đã sử dụng,Tự động,Xăng,Hàn Quốc,Hatchback,2.0
849000000.0,Mazda,CX 5,2023.0,0.0,Mới,Tự động,Xăng,Việt Nam,SUV,5.0
436000000.0,Kia,Cerato,2018.0,100000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,Sedan,5.0
599900000.0,Suzuki,XL 7,2023.0,0.0,Mới,Tự động,Xăng,Nhật Bản,SUV,7.0
135000000.0,Ford,Focus,2008.0,69998.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,Sedan,5.0
775000000.0,Mazda,CX 5,2020.0,18000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,5.0
635000000.0,Toyota,Veloz Cross,2022.0,17000.0,Đã sử dụng,Tự động,Xăng,Nước khác,SUV,7.0
1793000000.0,Bentley,Continental,2004.0,59000.0,Đã sử dụng,Tự động,Xăng,Nước khác,Sedan,4.0
360000000.0,Toyota,Vios,2020.0,49000.0,Đã sử dụng,Số sàn,Xăng,Việt Nam,Sedan,5.0
830000000.0,Honda,CR V,2020.0,50000.0,Đã sử dụng,Tự động,Xăng,Việt Nam,SUV,7.0
